question,gold answer,KITLM,"GPT3.5-turbo ChatGPT, 1 shot",GPT3_FineTuned_2-epochs
What is the aircraft manufacturer associated with [Registration_N2588A]?,Piper,piper,N/A, Beechcraft
What is the seat occupancy associated with [Pilot_NYC04LA041]?,Left,left,N/A,2
What passanger injury is associated with [AccidentNumber_SEA04LA001]?,1 Minor,1 none,N/A (passenger injuries are not mentioned in the accident report), 1 none
What medical certification does [Pilot_MIA01LA088] have?,Class 2 Valid Medical--no waivers/lim.,class 2 valid medical--no waivers/lim.,N/A,certifiedflightinstructor
What passanger injury is associated with [AccidentNumber_CHI04LA144]?,1 None,3 minor,N/A (insufficient information provided),1 none
What is the lowest cloud condition associated with [AccidentNumber_LAX04LA111]?,Scattered / 25000 ft agl,___unknown___lowestcloudcondition,N/A, ___unknown___cloudcondition
What is the lowest cloud condition associated with [AccidentNumber_SEA01LA164]?,Clear,clear,N/A, ___unknown___cloudcondition
What does [Registration_N727SP] have in terms of an emergency locator transmitter?,"Installed, not activated","installed, not activated",N/A, ___unknown___emergencylocatortransmitter 
What is the instrument flight rules approach associated with [AccidentNumber_DEN04LA017]?,___Unknown___InstrumentFlightRulesApproach,___unknown___instrumentflightrulesapproach,N/A, ___unknown___instrumentflightrulesapproach 
What is the lowest cloud condition associated with [AccidentNumber_NYC02LA091]?,___Unknown___LowestCloudCondition,clear,N/A (Cloud condition information is not provided for AccidentNumber_NYC02LA091), ___unknown___cloudcondition
What is the second event associated with [AccidentNumber_ATL06CA001]?,FORCED_LANDING,loss_of_control_-_in_flight,N/A, ___unknown___secondevent 
What is the engine manufacturer associated with [Registration_N4989A]?,Lycoming,lycoming,N/A, Lycoming
What medical certification does [Pilot_CHI04LA084] have?,Class 1 Valid Medical--no waivers/lim.,class 1 valid medical--no waivers/lim.,N/A (There is no information available about Pilot_CHI04LA084's medical certification in the given question or any provided context.),certifiedflightinstructor
What is the first event associated with [AccidentNumber_FTW90LA049]?,IN_FLIGHT_ENCOUNTER_WITH_WEATHER_-_FOG,in_flight_encounter_with_weather_-_fog,N/A,collisionwithterrain
What is the Flight Crew associated with [AccidentNumber_CHI04FA203]?,PILOT_IN_COMMAND,pilot_in_command,N/A,pilot-in-command
What is the aircraft manufacturer associated with [Registration_N1084B]?,Mooney,mooney,N/A, Beechcraft
What is the aircraft damage associated with [AccidentNumber_FTW04FA029]?,Destroyed,destroyed,N/A,substantial
What is the aircraft issue that caused [AccidentNumber_ATL03LA050]?,___Unknown___AircraftIssue,___unknown___aircraftissue,N/A (The provided Accident Number is not valid), ___unknown___aircraftissue
What is the aircraft manufacturer associated with [Registration_N693V]?,Beech,beech,N/A, Beechcraft
What certificate does [Pilot_ATL02LA149] have?,Private,private,N/A, Commercial
What is the seat occupancy associated with [Pilot_LAX04LA119]?,Left,left,N/A (The given AccidentNumber does not provide information about seat occupancy.),2
What is the airport associated with [AccidentNumber_MIA02LA057]?,___Unknown___Airport,___unknown___airport,N/A (There is no airport information provided in the AccidentNumber_MIA02LA057),"miami international airport, mia"
What airworthiness certificate does [Registration_N56715] have?,Normal,normal,N/A, ___unknown___airworthinesscertificate
What is the engine model associated with [Registration_N152RC]?,O-235-L2C,o-235-l2c,N/A, Lycoming O-360-A4M
What engine is associated with [Registration_N82120]?,1Reciprocating,1reciprocating,N/A, Lycoming O-320-E2D
What environmental issue caused [AccidentNumber_NYC04LA041]?,___Unknown___EnvironmentalIssue,___unknown___environmentalissue,N/A, ___unknown___environmentalissue
What is the crew injury associated with [AccidentNumber_NYC05CA090]?,1 None,1 none,N/A,"1 minor, 1 none"
What is the first event associated with [AccidentNumber_FTW84LA124]?,HARD_LANDING,loss_of_control_-_on_ground/water,N/A,collisionwithterrain
What is the Flight Crew associated with [AccidentNumber_CHI86LA001]?,PILOT_IN_COMMAND,pilot_in_command,N/A,pilot-in-command
What is the aircraft damage associated with [AccidentNumber_CHI05CA060]?,Substantial,substantial,N/A,substantial
What caused [AccidentNumber_CHI83LA405]?,WINDINFORMATION|PROPERTOUCHDOWNPOINT|TERRAINCONDITION|WEATHERCONDITION|WRONGRUNWAY,wrongrunway,N/A (insufficient information provided), ___unknown___causeofaccident
What instructor rating does [Pilot_MIA01LA207] have?,Airplane Multi-engine; Airplane Single-engine; Instrument Airplane,airplane multi-engine; airplane single-engine,N/A (There is no information given about the instructor rating of Pilot_MIA01LA207), ___unknown___instructorrating
What is the Aircraft Explosion associated with [AccidentNumber_MIA02LA002]?,___Unknown___AircraftExplosion,___unknown___aircraftexplosion,N/A, ___unknown___aircraftexplosion
What is the lowest cloud condition associated with [AccidentNumber_DEN03LA027]?,Clear,clear,N/A (The AccidentNumber_DEN03LA027 doesn't provide any information about cloud conditions), ___unknown___cloudcondition
What is the engine manufacturer associated with [Registration_N804JH]?,Pratt&Whitney,pratt&whitney,N/A, ___unknown___enginemanufacturer 
In which country did [AccidentNumber_CHI03LA158] occur?,MO,mi,N/A, ___unknown___country
What is the runway surface condition associated with [AccidentNumber_CHI02LA226]?,___Unknown___RunwaySurfaceCondition,___unknown___runwaysurfacecondition,N/A, ___unknown___runwaysurfacecondition
What engine is associated with [Registration_N1056L]?,1Reciprocating,1reciprocating,N/A, Lycoming IO-540-B1B5
What airspace is associated with [AccidentNumber_ATL01LA050]?,ClassG,classg,N/A, ___unknown___airspacetype
What are the conditions at the accident site associated with [AccidentNumber_CHI03FA291]?,Instrument Conditions,instrument conditions,N/A (There is no information provided about the AccidentNumber_CHI03FA291), ___unknown___ataccidentsite
What is the third event associated with [AccidentNumber_CHI86LA135]?,IN_FLIGHT_COLLISION_WITH_TERRAIN/WATER,in_flight_collision_with_terrain/water,N/A (Not enough information is provided to determine the answer.), ___unknown___thirdevent 
What is the Flight Crew associated with [AccidentNumber_NYC88LA071]?,COPILOT/SECOND_PILOT|PILOT_IN_COMMAND,pilot_in_command,N/A,pilot-in-command
What airspace is associated with [AccidentNumber_ANC05CA054]?,AirportInformation,airportinformation,N/A, ___unknown___airspacetype
What is the aircraft damage associated with [AccidentNumber_FTW03LA034]?,Substantial,substantial,N/A, none
What is the Federal Aviation Regulation associated with [AccidentNumber_LAX04LA112]?,Part91GeneralAviation-Personal,part91generalaviation-personal,N/A, part91generalaviation-personal_flight
What does [Registration_N60U] have in terms of an emergency locator transmitter?,"Installed, not activated","installed, not activated",N/A, ___unknown___elt
What is the airplane rating associated with [Pilot_LAX03LA122]?,Multi-engineLand;Single-engineLand,multi-engineland;single-engineland,N/A (There is no information provided about an airplane rating associated with Pilot_LAX03LA122), private
What aircraft category does [Registration_N739WE] belong to?,Airplane,airplane,N/A,aircraftcategory_commercial 
What environmental issue caused [AccidentNumber_NYC02FA126]?,___Unknown___EnvironmentalIssue,___unknown___environmentalissue,N/A, ___unknown___environmentalissue
What is the lowest cloud condition associated with [AccidentNumber_CHI04CA132]?,___Unknown___LowestCloudCondition,___unknown___lowestcloudcondition,N/A, ___unknown___cloudcondition
In which country did [AccidentNumber_LAX02LA037] occur?,CA,ca,N/A (not enough information provided), ___unknown___country
What is the landing gear associated with [Registration_N262FE]?,Retractable-Tricycle,retractable-tricycle,N/A, ___unknown___landinggear
What aircraft category does [Registration_N524J] belong to?,Airplane,airplane,"N/A (The registration number provided is invalid, as a valid registration number must have exactly 5 to 7 characters that include letters and/or numbers.)", ___unknown___aircraftcategory
What is the restraint used associated with [Pilot_MIA05FA020]?,"Seatbelt, Shoulder harness","seatbelt, shoulder harness",N/A, ___unknown___restraintused 
What airworthiness certificate does [Registration_N51192] have?,Normal,normal,N/A, ___unknown___airworthinesscertificate
What was the result of the last inspection for [Registration_N513TS]?,100 Hour,100 hour,N/A, ___unknown___lastinspectionresult
What is the second event associated with [AccidentNumber_ATL88LA208]?,FORCED_LANDING,forced_landing,N/A, ___unknown___secondevent 
What [instrument rating] does [Pilot_LAX01LA083] have?,Airplane; Helicopter,airplane,N/A (Insufficient information provided to determine the answer), ___unknown___instrumentrating
What is the second event associated with [AccidentNumber_FTW98LA039]?,FORCED_LANDING,forced_landing,N/A. There is no information provided about a second event associated with AccidentNumber_FTW98LA039., ___unknown___secondevent 
What airworthiness certificate does [Registration_N204RH] have?,Experimental,experimental,N/A, ___unknown___airworthinesscertificate
What is the second event associated with [AccidentNumber_CHI01LA303]?,LOSS_OF_ENGINE_POWER(TOTAL)_-_MECH_FAILURE/MALF,forced_landing,N/A, ___unknown___secondevent 
What is the second event associated with [AccidentNumber_MIA83LA151]?,FORCED_LANDING,loss_of_control_-_in_flight,N/A, ___unknown___secondevent 
What is the first event associated with [AccidentNumber_MKC89LA101]?,LOSS_OF_CONTROL_-_ON_GROUND/WATER,loss_of_engine_power(total)_-_nonmechanical,"N/A (As an AI language model, I do not have access to current accident reports and databases.)",collisionwithterrain
What is the aircraft issue that caused [AccidentNumber_LAX05CA128]?,___Unknown___AircraftIssue,___unknown___aircraftissue,loss of engine power/total power in-flight, ___unknown___aircraftissue
What caused [AccidentNumber_FTW02LA137]?,FUELSYSTEMCAP|FLUIDFUEL|TERRAINCONDITION|OPERATIONWITHKNOWNDEFICIENCIESINEQUIPMENT,operationwithknowndeficienciesinequipment,N/A, ___unknown___causeofaccident
What is the lowest cloud condition associated with [AccidentNumber_NYC04FA136]?,___Unknown___LowestCloudCondition,___unknown___lowestcloudcondition,N/A (Cloud conditions are not mentioned in the accident report for AccidentNumber_NYC04FA136), ___unknown___cloudcondition
What environmental issue caused [AccidentNumber_FTW04LA105]?,___Unknown___EnvironmentalIssue,___unknown___environmentalissue,N/A (the accident number provided is not associated with an environmental issue and does not provide enough context to determine any potential environmental factors), ___unknown___environmentalissue
Who was the responsible for maintainence and repair for the accident associated with [AccidentNumber_LAX01LA231]?,COMPANY_MAINTENANCE_PERSONNEL,other_maintenance_personnel,N/A, ___unknown___maintenanceandrepairpersonnel
What caused [AccidentNumber_CHI04CA113]?,REMEDIALACTION|DIRECTIONALCONTROL|TERRAINCONDITION,terraincondition,N/A, ___unknown___causeofaccident
What is the aircraft issue that caused [AccidentNumber_ANC02FA042]?,___Unknown___AircraftIssue,___unknown___aircraftissue,N/A, ___unknown___aircraftissue
What environmental issue caused [AccidentNumber_FTW03LA004]?,___Unknown___EnvironmentalIssue,___unknown___environmentalissue,N/A (there is no environmental issue associated with AccidentNumber_FTW03LA004 as it pertains to a runway incursion incident at an airport), ___unknown___environmentalissue
What is the seat occupancy associated with [Pilot_ANC02FA042]?,Front,front,N/A,2
What is the airplane rating associated with [Pilot_CHI03LA190]?,Single-engineLand;Single-engineSea,single-engineland;single-enginesea,N/A, private
What is the first event associated with [AccidentNumber_MIA02FA048]?,LOSS_OF_ENGINE_POWER(TOTAL)_-_NONMECHANICAL,loss_of_control_-_in_flight,N/A (No information given about the first event),collisionwithterrain
What is the total injury associated with [AccidentNumber_LAX03LA122]?,1 None,1 none,N/A (There is not enough information to determine the total injury associated with AccidentNumber_LAX03LA122),"1 minor, 1 none"
What is the restraint used associated with [Pilot_ANC03LA010]?,"Seatbelt, Shoulder harness","seatbelt, shoulder harness",N/A, ___unknown___restraintused 
What environmental issue caused [AccidentNumber_NYC02LA128]?,___Unknown___EnvironmentalIssue,___unknown___environmentalissue,N/A (Insufficient information to determine environmental issue), ___unknown___environmentalissue
What is the aircraft fire associated with [AccidentNumber_LAX04LA254]?,On-Ground,on-ground,N/A, ___unknown___aircraftfire
What is the first event associated with [AccidentNumber_CHI03LA147]?,HARD_LANDING,loss_of_control_-_on_ground/water,N/A (Insufficient information provided to determine the event associated with AccidentNumber_CHI03LA147),collisionwithterrain
What is the clearance associated with [AccidentNumber_FTW01FA111]?,IFR,ifr,N/A, ___unknown___clearance
What engine is associated with [Registration_N737WQ]?,1Reciprocating,1reciprocating,N/A, Lycoming IO-540-B4B5
What is the airplane rating associated with [Pilot_SEA01LA111]?,Single-engineLand,single-engineland,N/A, private
What is the runway surface type associated with [AccidentNumber_CHI05LA050]?,Asphalt,asphalt,N/A, ___unknown___runwaysurfacetype
What [instrument rating] does [Pilot_LAX02LA147] have?,Airplane; Helicopter,airplane,N/A, ___unknown___instrumentrating
What is the crew injury associated with [AccidentNumber_LAX02LA037]?,"1 Serious, 1 None","1 serious, 1 none",N/A,1 minor
What is the third event associated with [AccidentNumber_LAX07CA261]?,ON_GROUND/WATER_COLLISION_WITH_OBJECT_-_TREE(S),on_ground/water_collision_with_object_-_tree(,N/A (There is no information provided about any third event associated with AccidentNumber_LAX07CA261.), ___unknown___thirdevent 
What flight plan was filed for [AccidentNumber_FTW04LA090]?,IFR,ifr,N/A, ___unknown___flightplan
What caused [AccidentNumber_CHI97LA280]?,REMEDIALACTION|WEATHERCONDITION|FLIGHTPLANNING/DECISION,remedialaction,N/A, ___unknown___causeofaccident
What is the engine manufacturer associated with [Registration_N9XQ]?,Lycoming,lycoming,N/A, Lycoming
What is the first event associated with [AccidentNumber_IAD97FA038]?,IN_FLIGHT_ENCOUNTER_WITH_WEATHER_-_LOW_CEILING,in_flight_encounter_with_weather_-_low_ceiling,N/A (There is not enough information to determine the first event associated with AccidentNumber_IAD97FA038),collisionwithterrain
What is the aircraft manufacturer associated with [Registration_N7236L]?,Beech,beech,N/A (No information is available about the registration number N7236L), Beechcraft
What airworthiness certificate does [Registration_N9091D] have?,Normal,normal,N/A, ___unknown___airworthinesscertificate
What caused [AccidentNumber_CHI07FA016]?,FLUIDOIL|TERRAINCONDITION|VISUALLOOKOUT,visuallookout,N/A, ___unknown___causeofaccident
What is the first event associated with [AccidentNumber_CHI01LA306]?,LOSS_OF_CONTROL_-_ON_GROUND/WATER,loss_of_engine_power(partial)_-_mech_fa,N/A,collisionwithterrain
What caused [AccidentNumber_LAX01LA164]?,PROPERDESCENTRATE|DIRECTIONALCONTROL,properdescentrate,"pilot's improper decision to continue flight into adverse weather conditions, which resulted in spatial disorientation and subsequent loss of control of the airplane.", ___unknown___causeofaccident
What is the Flight Crew associated with [AccidentNumber_MIA89GA144]?,PILOT_IN_COMMAND,pilot_in_command,N/A,pilotincommand
What caused [AccidentNumber_CHI03FA239]?,AIRSPEED|ABORTEDTAKEOFF,clearance,N/A, ___unknown___causeofaccident
What is the first event associated with [AccidentNumber_SEA03LA035]?,LOSS_OF_CONTROL_-_ON_GROUND/WATER,loss_of_engine_power(total)_-_nonmechanical,N/A,collision with terrain
What are the conditions at the accident site associated with [AccidentNumber_CHI02LA018]?,Visual Conditions,visual conditions,N/A (The question is incomplete. There is no information about what conditions are being referred to.), ___unknown___ataccidentsite
What certificate does [Pilot_DEN04LA017] have?,FlightInstructor;Commercial,flightinstructor;commercial,N/A, ___unknown___certificate
In which country did [AccidentNumber_ANC02FA042] occur?,AK,ak,N/A (insufficient information provided), Unknown
What airspace is associated with [AccidentNumber_SEA02FA036]?,ClassE,classe,N/A (the airspace associated with AccidentNumber_SEA02FA036 is not provided in the given information), ___unknown___airspacetype
What is the second event associated with [AccidentNumber_CHI90LA122]?,LOSS_OF_CONTROL_-_ON_GROUND/WATER,loss_of_control_-_on_ground/water,N/A (Insufficient information provided), ___unknown___secondevent 
What are the conditions at the accident site associated with [AccidentNumber_DEN04FA027A]?,Visual Conditions,visual conditions,N/A (The accident number provided is invalid or not recognized by the system), ___unknown___ataccidentsite
What certificate does [Pilot_FTW03LA069] have?,Private,private,N/A, private
What is the engine manufacturer associated with [Registration_N182UA]?,Pratt&Whitney,pratt&whitney,N/A - There is not enough information to determine the engine manufacturer associated with Registration_N182UA., ___unknown___enginemanufacturer 
In which country did [AccidentNumber_MIA05FA020] occur?,FL,fl,N/A, Unknown
What is the third event associated with [AccidentNumber_SEA03LA023]?,IN_FLIGHT_COLLISION_WITH_TERRAIN/WATER,in_flight_collision_with_terrain/water,N/A, ___unknown___thirdevent 
What [instrument rating] does [Pilot_CHI03LA158] have?,Airplane,airplane,N/A, ___unknown___instrumentrating
What is the aircraft damage associated with [AccidentNumber_DEN01LA119]?,Substantial,substantial,N/A,substantial
What is the condition of light associated with [AccidentNumber_MIA03LA021]?,Day,day,N/A, day
What is the first event associated with [AccidentNumber_LAX88FA101]?,IN_FLIGHT_ENCOUNTER_WITH_WEATHER_-_LOW_CEILING,loss_of_control_-_in_flight,N/A,collisionwithterrain
What is the first event associated with [AccidentNumber_ANC06LA001]?,LOSS_OF_ENGINE_POWER(TOTAL)_-_NONMECHANICAL,loss_of_control_-_on_ground/water,N/A, ___unknown___firstevent 
What is the third event associated with [AccidentNumber_FTW87LA024]?,IN_FLIGHT_COLLISION_WITH_TERRAIN/WATER,in_flight_collision_with_terrain/water,N/A, ___unknown___thirdevent
What [instrument rating] does [Pilot_CHI04CA172] have?,Airplane,airplane,N/A, ___unknown___instrumentrating
What is the lowest cloud condition associated with [AccidentNumber_SEA04LA093]?,Clear,clear,N/A, ___unknown___cloudcondition
What is the aircraft fire associated with [AccidentNumber_FTW02FA087]?,On-Ground,on-ground,N/A, Unknown
What is the engine manufacturer associated with [Registration_N7180Q]?,TextronLycoming,textronlycoming,"N/A (The question is incomplete. The registration number provided is for an aircraft, not an engine.)", Lycoming
What is the second event associated with [AccidentNumber_CHI02LA045]?,ON_GROUND/WATER_COLLISION_WITH_OBJECT_-_RUNWAY_LIGHT,on_ground/water_collision_with_object_-_runway_,N/A, ___unknown___secondevent 
What is the engine manufacturer associated with [Registration_N19771]?,Lycoming,lycoming,N/A, Lycoming
What is the engine manufacturer associated with [Registration_N991RW]?,Lycoming,lycoming,N/A, Lycoming
What is the condition of light associated with [AccidentNumber_ANC01LA099]?,Day,day,N/A, day
What was the result of the last inspection for [Registration_N82120]?,100 Hour,100 hour,N/A, ___unknown___lastinspectionresult
What is the crew injury associated with [AccidentNumber_LAX04CA309]?,1 Minor,1 minor,N/A (There is no AccidentNumber_LAX04CA309 in the given question or dataset),"1 minor, 1 none"
What instructor rating does [Pilot_LAX05CA082] have?,___Unknown___InstructorRating,___unknown___instructorrating,N/A, ___unknown___instructorrating
What certificate does [Pilot_LAX02LA077] have?,Private,private,N/A, private
What is the lowest cloud condition associated with [AccidentNumber_ANC03LA016]?,Clear,clear,N/A, ___unknown___cloudcondition
What is the second event associated with [AccidentNumber_DEN93LA072]?,LOSS_OF_CONTROL_-_ON_GROUND/WATER,forced_landing,N/A, ___unknown___secondevent 
What is the restraint used associated with [Pilot_LAX03FA147]?,"Seatbelt, Shoulder harness","seatbelt, shoulder harness",N/A, ___unknown___restraintused 
What was the result of the last inspection for [Registration_N53828]?,Annual,annual,N/A, ___unknown___lastinspectionresult
What aircraft category does [Registration_N50G] belong to?,Airplane,airplane,N/A, ___unknown___aircraftcategory
What is the Federal Aviation Regulation associated with [AccidentNumber_ANC03LA025]?,Part91GeneralAviation-Personal,part91generalaviation-personal,N/A, ___unknown___federalaviationregulation 
What caused [AccidentNumber_DEN08CA023]?,TERRAINCONDITION|ALTITUDE|AIRSPEED|GOAROUND,altitude,N/A, ___unknown___causeofaccident
What is the first event associated with [AccidentNumber_ANC87LA029]?,LOSS_OF_CONTROL_-_ON_GROUND/WATER,loss_of_engine_power(total)_-_nonmechanical,N/A,collisionwithterrain
What is the landing gear associated with [Registration_N8356X]?,Retractable-Tricycle,retractable-tricycle,Nose wheel and two main wheels., ___unknown___landinggear
What is the Flight Crew associated with [AccidentNumber_SEA95LA169]?,PILOT_IN_COMMAND,pilot_in_command,N/A,pilotincommand
What airworthiness certificate does [Registration_N804JH] have?,Normal,normal,N/A, ___unknown___airworthinesscertificate
What aircraft category does [Registration_N51192] belong to?,Airplane,airplane,N/A, ___unknown___aircraftcategory
What is the runway surface type associated with [AccidentNumber_ATL01LA045]?,Asphalt,asphalt,N/A (the AccidentNumber_ATL01LA045 does not contain information about the runway surface type), ___unknown___runwaysurfacetype
What is the first event associated with [AccidentNumber_MIA08FA010]?,LOSS_OF_ENGINE_POWER(TOTAL)_-_NONMECHANICAL,loss_of_engine_power(total)_-_nonmechanical,N/A,collision with terrain
What is the Federal Aviation Regulation associated with [AccidentNumber_MIA02FA079]?,Part91GeneralAviation-Personal,part91generalaviation-personal,"N/A (As an AI language model, I don't have access to current data on FAA regulations or accidents.)", Part 91 - General Aviation
In which country did [AccidentNumber_MIA02LA076] occur?,FL,fl,N/A (the AccidentNumber_MIA02LA076 is not sufficient to determine the country where the accident occurred), Unknown
What is the first event associated with [AccidentNumber_FTW00FA001]?,LOSS_OF_CONTROL_-_IN_FLIGHT,in_flight_collision_with_terrain/water,N/A (No accident number is provided.),collisionwithterrain
What is the runway surface condition associated with [AccidentNumber_IAD01FA089]?,Dry,dry,N/A (The provided AccidentNumber is not valid or does not exist in the database), ___unknown___runwaysurfacecondition
What environmental issue caused [AccidentNumber_MIA02LA165]?,___Unknown___EnvironmentalIssue,___unknown___environmentalissue,N/A, ___unknown___environmentalissue
What is the first event associated with [AccidentNumber_ANC01LA131]?,IN_FLIGHT_COLLISION_WITH_TERRAIN/WATER,loss_of_engine_power(partial)_-_mech_fa,N/A,collisionwithterrain
What is the Visual Flight Rules approach associated with [AccidentNumber_SEA05CA035]?,WreckageAndImpactInformation,wreckageandimpactinformation,What is the Visual Flight Rules approach associated with AccidentNumber_SEA05CA035?  Your response: N/A, ___unknown___visualflightrulesapproach 
What is the first event associated with [AccidentNumber_MIA05CA121]?,HARD_LANDING,hard_landing,"N/A (As an AI language model, I do not have access to current news and updates. Please provide specific database or source to answer the question.)",collisionwithterrain
What medical certification does [Pilot_ANC02FA042] have?,Class 2 Valid Medical--w/ waivers/lim.,class 2 valid medical--w/ waivers/lim.,N/A, ___unknown___medicalcertification
What caused [AccidentNumber_ATL04LA001]?,MAINTENANCE|AIRSPEED,maintenance,N/A (There is no AccidentNumber_ATL04LA001. Please provide a valid accident number.), ___unknown___causeofaccident
What is the restraint used associated with [Pilot_CHI01LA081]?,"Seatbelt, Shoulder harness","seatbelt, shoulder harness",N/A,seatbelt
What certificate does [Pilot_FTW03LA001] have?,Private,private,N/A, ___unknown___certificate
What [instrument rating] does [Pilot_MIA02FA048] have?,Airplane,airplane,N/A (The accident report number provided is not related to a pilot certificate or rating.), ___unknown___instrumentrating
What is the runway surface condition associated with [AccidentNumber_ANC01LA080]?,___Unknown___RunwaySurfaceCondition,___unknown___runwaysurfacecondition,N/A, ___unknown___runwaysurfacecondition
What is the Federal Aviation Regulation associated with [AccidentNumber_NYC03LA060]?,Part91GeneralAviation-Personal,part91generalaviation-personal,"N/A (As an AI language model, I don't have access to current accident databases or the authority to browse/browse databases. Please provide the necessary information to generate an answer.)", part91generalaviation-personal_flight
What is the aircraft manufacturer associated with [Registration_N53505]?,Piper,piper,N/A (The registration number provided is not valid), ___unknown___aircraftmanufacturer 
What is the runway surface type associated with [AccidentNumber_DEN05LA055]?,Asphalt,asphalt,N/A, ___unknown___runwaysurfacetype
What certificate does [Pilot_MIA05CA121] have?,Private,private,N/A, private
What are the conditions at the accident site associated with [AccidentNumber_DEN02LA067]?,Visual Conditions,visual conditions,N/A (The question doesn't provide enough information to determine the conditions at the accident site.), ___unknown___ataccidentsite
What is the crew injury associated with [AccidentNumber_FTW02FA087]?,1 Fatal,1 fatal,N/A,1 minor
What is the second event associated with [AccidentNumber_FTW98LA137]?,IN_FLIGHT_COLLISION_WITH_OBJECT_-_TREE(S),in_flight_collision_with_terrain/water,N/A, ___unknown___secondevent 
What was the result of the last inspection for [Registration_N34NL]?,Annual,annual,N/A,100.00%
What is the second event associated with [AccidentNumber_ATL88LA001]?,LOSS_OF_CONTROL_-_ON_GROUND/WATER,nose_gear_collapsed,N/A, ___unknown___secondevent 
What is the first event associated with [AccidentNumber_FTW84LA298]?,LOSS_OF_CONTROL_-_ON_GROUND/WATER,in_flight_collision_with_object_-_tree(s,N/A (as no information is given regarding the first event associated with the given Accident Number),collisionwithterrain
What airspace is associated with [AccidentNumber_MIA02FA037]?,ClassG,classg,N/A (The requested information cannot be found with the provided AccidentNumber_MIA02FA037), ___unknown___airspacetype
What is the crew injury associated with [AccidentNumber_CHI03LA002]?,2 None,2 none,N/A (The accident number provided is not valid),"1 minor, 1 none"
What is the aircraft manufacturer associated with [Registration_N9DD]?,Beech,beech,N/A, Beechcraft
What is the Flight Crew associated with [AccidentNumber_ANC85LA050]?,PILOT_IN_COMMAND,pilot_in_command,N/A,pilotincommand
What is the lowest cloud condition associated with [AccidentNumber_CHI03LA145]?,Clear,clear,N/A, ___unknown___cloudcondition
What is the lowest cloud condition associated with [AccidentNumber_ATL04CA172]?,Clear,clear,N/A (There is no mention of cloud condition in AccidentNumber_ATL04CA172 report), ___unknown___cloudcondition
What is the first event associated with [AccidentNumber_CHI87FA212]?,UNDERSHOOT,undershoot,N/A (The question is asking for a specific accident number which is not provided in the prompt),collisionwithterrain
What caused [AccidentNumber_MIA92LA055]?,DISTANCE|ALTITUDE|LIGHTCONDITION,distance,N/A, ___unknown___causeofaccident
What [instrument rating] does [Pilot_CHI02LA115] have?,Airplane,airplane,N/A, ___unknown___instrumentrating
What aircraft category does [Registration_N4033G] belong to?,Airplane,airplane,N/A, ___unknown___aircraftcategory
What is the Flight Crew associated with [AccidentNumber_SEA96LA109]?,PILOT_IN_COMMAND,pilot_in_command,N/A (The provided information does not contain this detail about AccidentNumber_SEA96LA109),pilotincommand
What is the runway surface condition associated with [AccidentNumber_MIA02LA077]?,Dry,___unknown___runwaysurfacecondition,N/A (The given accident number is invalid or doesn't exist in the database), ___unknown___runwaysurfacecondition
Who was the responsible for maintainence and repair for the accident associated with [AccidentNumber_ATL04LA044]?,OTHER_MAINTENANCE_PERSONNEL,other_maintenance_personnel,N/A, ___unknown___maintenanceandrepairpersonnel
What aircraft category does [Registration_N4104B] belong to?,Airplane,airplane,N/A, ___unknown___aircraftcategory
In which country did [AccidentNumber_FTW01LA045] occur?,OK,ok,N/A (The AccidentNumber is not complete), united states
What medical certification does [Pilot_ANC05CA115] have?,Class 3,class 3,N/A, ___unknown___medicalcertification
What [instrument rating] does [Pilot_ANC02LA088] have?,Airplane,airplane,N/A, ___unknown___instrumentrating
What are the conditions at the accident site associated with [AccidentNumber_FTW04FA052]?,Instrument Conditions,instrument conditions,"N/A (As an AI language model, I don't have access to real-time data)", ___unknown___ataccidentsite
What is the first event associated with [AccidentNumber_FTW86FA073]?,IN_FLIGHT_ENCOUNTER_WITH_WEATHER_-_FOG,in_flight_encounter_with_weather_-_fog,N/A,collisionwithterrain
What caused [AccidentNumber_CHI99LA017]?,LACKOFTOTALEXPERIENCEINTYPEOFAIRCRAFT|DIRECTIONALCONTROL,lubricatingsystem,N/A (No information is available about AccidentNumber_CHI99LA017), ___unknown___causeofaccident
What caused [AccidentNumber_LAX85FA304]?,OBJECT|TERRAINCONDITION|PROPERALTITUDE|VISUAL/AURALPERCEPTION|VISUALLOOKOUT,visual/auralperception,N/A, ___unknown___causeofaccident
What [instrument rating] does [Pilot_DEN01LA100] have?,Airplane,airplane,N/A, ___unknown___instrumentrating
What is the third event associated with [AccidentNumber_LAX94LA233]?,IN_FLIGHT_COLLISION_WITH_TERRAIN/WATER,"in_flight_collision_with_object_-_wire,transmission",N/A, ___unknown___thirdevent 
What is the Federal Aviation Regulation associated with [AccidentNumber_IAD04CA009]?,Part91GeneralAviation-Instructional,part91generalaviation-instructional,N/A, part91generalaviation-personal_flight
What is the second event associated with [AccidentNumber_LAX84FA087]?,LOSS_OF_CONTROL_-_IN_FLIGHT,loss_of_control_-_in_flight,N/A, ___unknown___secondevent 
What airworthiness certificate does [Registration_N495C] have?,Normal,normal,N/A, ___unknown___airworthinesscertificate
What is the seat occupancy associated with [Pilot_ATL04CA146]?,Single,single,N/A (There isn't enough information to determine seat occupancy for this accident report identifier),2
