question,gold answer,KITLM,"GPT3.5-turbo ChatGPT, 1 shot",GPT3_FineTuned_2-epochs
Who is the registered owner of the registered aircraft involved in [AccidentNumber_LAX04CA222],David B. Seashore,"arizona soaring, inc.",N/A (The provided AccidentNumber does not exist in the FAA database),The registered owner of the registered aircraft involved in [AccidentNumber_LAX04CA222] is the owner of the registered aircraft.
What was the airplane rating of the pilot in the aircraft involved in [AccidentNumber_CHI01LA112],Single-engineLand,multi-engineland;single-engineland,N/A (The accident report does not mention the airplane rating of the pilot.),Single-engineland;single-enginesea;single-enginesea;single-enginesea;single-enginesea;single-enginesea;single-enginesea;single-enginesea;single-
What could have contributed to the cause of the accident [AccidentNumber_SEA04LA064],OTHER,other,Failure of the pilot to maintain clearance from the parked vehicle and the inadequate remedial action taken by the pilot during the approach to landing.,other_maintenance_personnel_personnel_management_personnel_management_personnel_personnel_management_personnel_management_personnel_management_personnel_management_personnel_management_personnel_management
What is the aircraft model of the registered aircraft involved in [AccidentNumber_NYC05CA079],B75N1,pa-18-150,N/A,c-46b-2a1a2b0a1a0a0a0a0a0a0a0a0a0a0a0a0a0a0a0a0a0a0
What is the Emergency Locator Transmitter of the registered aircraft involved in [AccidentNumber_CHI03LA190],"Installed, activated, did not aid in locating accident","installed, not activated",N/A,"installed,not activated/used/checked/serviced/checked/maintained/checked/serviced/checked/maintained/checked/serviced/checked/maintained/checked/serviced/checked/maintained"
What was the certificate of the pilot in the aircraft involved in [AccidentNumber_ATL02FA058],AirlineTransport,private,N/A,Private;commercial;flightengineer;flightengineerinstructor;flightengineerinstructorinflightacademy;flightengineerinstructorinflightacademyinflightacademy;flightengineerinstructor
What could have contributed to the cause of the accident [AccidentNumber_FTW83LA318],UNKNOWN|PILOT_IN_COMMAND,other,Pilot error.,other_maintenance_personnel_personnel_of_other_aircraft_organizations_personnel_of_other_organizations_personnel_of_unknown_organization_personnel_of_unknown_organization
Who is the engine manufacturer of the registered aircraft involved in [AccidentNumber_ANC01LA099],Continental,lycoming,N/A,turbomeca.com/engines/turbomeca_tmb-2-2a1-2a1-2a1-2a1-2a1-2a1-2a1-2a
What caused the accident of aircraft registered with [Registration_N457PH],___Unknown___AircraftIssue|___Unknown___EnvironmentalIssue|TURBINEASSEMBLYTURBINEWHEEL|TURBINEASSEMBLY,___unknown___aircraftissue,N/A,unknownpersonnel/equipmentinadequatecondition/maintenancepersonnel/maintenancepersonnel/equipmentinadequatecondition/personnel/personnel/personnel/personnel/personnel/personnel/personnel/person
What could have contributed to the cause of the accident [AccidentNumber_DFW05LA252],UNKNOWN|PILOT_IN_COMMAND,other,Pilot error.,other_maintenance_personnel_personnel_management_personnel_inspection_personnel_flight_crew_personnel_pilot_personnel_flight_crew_personnel_flight_crew_personnel_flight
What is the serial number of the registered aircraft involved in [AccidentNumber_LAX04CA236],28-7990003,172s8978,N/A (The provided accident number is invalid and does not exist in the National Transportation Safety Board's accident database.),c/n12-822-837-838-839-841-842-843-844-845-846-847-848-849-850-851-8
What was the condition of light when the accident of aircraft registered with [Registration_N589Q] occurred,Day,day,N/A - The question does not provide sufficient information to determine the condition of light at the time of the accident.,VFR day/night conditions light not operational at time of accident.
Which pilots have been involved in the accident of aircraft registered with [Registration_N5429D],Pilot_ANC01LA080,pilot_lax05ca252,N/A,pilot_chi01la039a039a039a039a039a039a039a039a039a039a039a039a039a039a039
What is the Emergency Locator Transmitter of the registered aircraft involved in [AccidentNumber_CHI01FA129],Not installed,"installed, not activated",N/A,"installed,not activated/used/checked/serviced/checked/maintained/checked/serviced/checked/maintained/checked/serviced/checked/maintained/checked/serviced/checked/maintained"
Who is the registered owner of the registered aircraft involved in [AccidentNumber_IAD05LA022],Devonshire Aviation LLC,eugenia m. singer,N/A - The aircraft registration number was not provided in the given AccidentNumber_IAD05LA022.,The registered owner of the registered aircraft involved in [AccidentNumber_IAD05LA022] is the owner of the registered aircraft.
Which cities have the accidents of the aircraft registered with [Registration_N210CJ] occurred in,BarHarbor,naples,N/A (No such aircraft with registration number N210CJ exists in the given dataset),"Baton Rouge,Louisiana;Cleveland,Ohio;Dallas,Texas;Fort Worth,Texas;Houston,Texas;Jacksonville,Florida;Kansas City,Missouri;Miami,Florida;New Orleans,Louisiana;Oklahoma City"
What could have contributed to the cause of the accident [AccidentNumber_FTW94FA090],OTHER|PILOT_IN_COMMAND,pilot_in_command,Pilot Error.,other_maintenance_personnel_personnel_of_other_aircraft_organizations_personnel_of_other_organizations_personnel_of_unknown_organization_personnel_of_unknown_organization
What could have contributed to the cause of the accident [AccidentNumber_WPR13LA082],Notattained/maintained|STUDENT_PILOT|FLIGHTCREW|NOT_SPECIFIED|INSTRUCTOR/CHECK_PILOT|PILOT_IN_COMMAND,notattained/maintained,Pilot's failure to maintain clearance and altitude.,_unknown_personnel_management_personnel_management_personnel_personnel_personnel_personnel_personnel_personnel_personnel_personnel_personnel_personnel_personnel_personnel_person
Who is the engine manufacturer of the registered aircraft involved in [AccidentNumber_ANC05FA090],Continental,lycoming,N/A,turbomeca.com/engines/turbomeca_tmb-2-2a1a.html.html.html.html.html.html.html.html.html.html.html.html.html
When was the last inspection of the registered aircraft involved in [AccidentNumber_SEA04LA048],Annual,annual,N/A, ___ ___ ___ ___ ___ ___ ___ ___ ___ ___ ___ ___ ___ ___ ___ ___ ___ ___ ___ ___ ___ ___ ___ ___ ___ ___ ___ ___ ___ ___ ___ ___ ___ ___ ___ ___ ___ ___ ___ ___ ___ ___ ___ ___ ___ ___ ___ ___ ___ ___
What could have contributed to the cause of the accident [AccidentNumber_CHI86FA193],OTHER,other,N/A,other_maintenance_personnel_personnel_of_other_aircraft_organizations_personnel_of_other_organizations_personnel_of_unknown_organization_personnel_of_unknown_organization
What was the certificate of the pilot in the aircraft involved in [AccidentNumber_ANC01LA028],Commercial,private,N/A,Private;commercial;private;commercial;private;commercial;private;commercial;private;commercial;private;commercial;private;commercial;private;commercial;private;commercial;private;commercial;private;commercial;private;commercial;private;
What could have contributed to the cause of the accident [AccidentNumber_DFW08CA221],AbilityTorespond/compensate|EffectOnOperation|STUDENT_PILOT|FLIGHTCREW|NOT_SPECIFIED|INSTRUCTOR/CHECK_PILOT|PILOT_IN_COMMAND,not_specified,Pilot's loss of directional control during takeoff roll.,_unknown_personnel_management_personnel_management_personnel_management_personnel_management_personnel_management_personnel_management_personnel_management_personnel_management_personnel_management_personnel
Which pilots have been involved in the accident of aircraft registered with [Registration_N64580],Pilot_LAX03CA274,pilot_den03la036,N/A,pilot_chi01la039a039a039a039a039a039a039a039a039a039a039a039a039a039a039
What is the aircraft model of the registered aircraft involved in [AccidentNumber_SEA04LA134],150C,g-164,N/A (The provided accident number is not valid),c-46b-2a-1b-1b-1b-1b-1b-1b-1b-1b-1b-1b-1b-1b-1b-1b-
What could have contributed to the cause of the accident [AccidentNumber_FTW99LA128],OTHER,other,N/A as no AccidentNumber_FTW99LA128 was found in the database.,other_maintenance_personnel_personnel_of_other_aircraft_personnel_of_other_aircraft_organizations_personnel_of_other_organizations_personnel_of_unknown_organization
Who is the registered owner of the registered aircraft involved in [AccidentNumber_NYC02LA179],Ronald L. Emond,norman robinson,N/A (As there is no information provided about AccidentNumber_NYC02LA179),"The registered owner of the aircraft involved in accident number LA179 is the owner of the registered aircraft, a corporation. The registered owner of the aircraft involved in accident number LA179 is the owner of the registered aircraft, a corporation."
What could have contributed to the cause of the accident [AccidentNumber_LAX06FA222],UNKNOWN|PILOT_IN_COMMAND,other,N/A,other_maintenance_personnel_personnel_management_personnel_personnel_management_personnel_personnel_personnel_personnel_personnel_personnel_personnel_personnel_personnel_personnel
What was the medical certification of the pilot in the aircraft involved in [AccidentNumber_FTW01LA057],Class 3 Valid Medical--w/ waivers/lim.,class 2 valid medical--w/ waivers/lim.,N/A,Medical with waivers. No waivers in effect. No waivers issued. No waivers in effect. No waivers issued. No waivers in effect. No waivers issued. No waivers in effect. No waivers issued. No waivers in effect. No waivers issued. No
What is the engine model of the registered aircraft involved in [AccidentNumber_FTW02LA228],250-C28B,o-360-f1a6,N/A,1a-b1a-a1a1a1a1a1a1a1a1a1a1a1a1a1a1a1a1a1a1a1a1a1a
What caused the accident of aircraft registered with [Registration_N502CL],OBJECT|___Unknown___EnvironmentalIssue|___Unknown___AircraftIssue,___unknown___aircraftissue,N/A,flightplanning/decisionmaking/decisionalclearance/decisiontoflight/decisiontoflight/flightplan/flightplanning/flightplanning/flightplanning/flightplanning/flightplanning/flightplanning
Who is the engine manufacturer of the registered aircraft involved in [AccidentNumber_CHI03LA243],Pratt&Whitney,lycoming,N/A,turbomeca.com/engines/turbomeca_tmb-2-2a1-2a1-2a1-2a1-2a1-2a1-2a1-2a
When was the last inspection of the registered aircraft involved in [AccidentNumber_CHI01LA081],Annual,annual,N/A, ___unknown___lastinspection___unknown___lastinspection___unknown___lastinspection___unknown___lastinspection___unknown___lastinspection___unknown___lastinspection___unknown___lastinspection___unknown___lastinspection___unknown
What was the condition of light when the accident of aircraft registered with [Registration_N2221X] occurred,Day,day,N/A,"VFR day/night conditions lighted/unlighted,lighted/unlighted,lighted/unlighted,lighted/unlighted,lighted/unlighted,lighted/unlighted,lighted"
What is the Emergency Locator Transmitter of the registered aircraft involved in [AccidentNumber_LAX04LA112],"Installed, not activated","installed, not activated",N/A,"installed,not activated/used,not installed/used,not activated/used,not installed/used,not activated/used,not installed/used,not activated/used,not installed/used,not activated/used,not installed/"
What could have contributed to the cause of the accident [AccidentNumber_FTW97FA032],UNQUALIFIEDPERSON|COPILOT/SECOND_PILOT|PILOT_IN_COMMAND,other,N/A (The specified accident number was not provided for reference),other_maintenance_personnel_personnel_of_other_aircraft_organizations_personnel_of_other_organizations_personnel_of_unknown_organization_personnel_of_unknown_organization
What is the landing gear type of the registered aircraft involved in [AccidentNumber_DEN05LA109],Retractable-Tricycle,tailwheel,Retractable tricycle.,tricycle
What is the aircraft category of the registered aircraft involved in [AccidentNumber_MIA01LA088],Airplane,airplane,Experimental.,turbopropplane:turbopropjet:turbopropjetenginestransportaircraftturbopropjetenginestransportaircraftturbopropjetenginestransportaircraftturb
What could have contributed to the cause of the accident [AccidentNumber_FTW84LA155A],UNQUALIFIEDPERSON|DUAL_STUDENT|PILOT_IN_COMMAND|PILOT_OF_OTHER_AIRCRAFT|GROUNDPERSONNEL|PILOT_IN_COMMAND|PILOT_OF_OTHER_AIRCRAFT,pilot_in_command,N/A,other_maintenance_personnel_personnel_in_charge_personnel_in_charge_of_maintenance_personnel_in_charge_of_flight_crew_personnel_in_charge_of_flight
What could have contributed to the cause of the accident [AccidentNumber_ERA16LA055],STUDENT_PILOT|FLIGHTCREW|NOT_SPECIFIED|INSTRUCTOR/CHECK_PILOT|PILOT_IN_COMMAND,not_specified,Loss of engine power due to fuel starvation caused by the pilot's inadequate preflight planning and in-flight decision making.,_unknown_personnel_management_personnel_management_personnel_personnel_personnel_personnel_personnel_personnel_personnel_personnel_personnel_personnel_personnel_personnel_person
What was the medical certification of the pilot in the aircraft involved in [AccidentNumber_CHI03FA239],Class 3 Valid Medical--no waivers/lim.,class 2 valid medical--w/ waivers/lim.,N/A (The question cannot be answered with the information given),Medical with waivers/limitations. No waivers/limitations noted. No waivers/limitations noted. No waivers/limitations noted. No waivers/limitations noted. No waivers/limitations noted. No waivers/limitations noted. No
What is the engine model of the registered aircraft involved in [AccidentNumber_NYC04FA137],O-470,o-360,N/A (The provided accident number is not valid),1a-b1a-a1a1a1a1a1a1a1a1a1a1a1a1a1a1a1a1a1a1a1a1a1a
Who is the engine manufacturer of the registered aircraft involved in [AccidentNumber_CHI01LA079],Continental,lycoming,N/A,turbomeca.com/engines/turbomeca_tmb-2-2a1-2a2-2a3-2a4-2a5-2a6-2a7-2a
What is the engine type of the registered aircraft involved in [AccidentNumber_ANC01LA063],1Reciprocating,1reciprocating,N/A,turbo-jet-turbofan-turboprop-turboshaft-turboshaft-turboshaft-turboshaft-turboshaft-turboshaft
What is the aircraft category of the registered aircraft involved in [AccidentNumber_LAX04CA222],Airplane,airplane,N/A (The provided accident number is not valid),turboprop:turbopropengineonly;turboprop:turbopropengineandturboshaft;turboprop:turbopropengineandturboshaftandpropeller;
What caused the accident of aircraft registered with [Registration_N440TJ],WEATHERCONDITION|___Unknown___AircraftIssue|LOSSOFTAILROTOREFFECTIVENESS|___Unknown___EnvironmentalIssue,___unknown___environmentalissue,N/A,unknownpersonnel/equipmentinadequatecondition/maintenancepersonnel/maintenancepersonnel/equipmentinadequatecondition/personnel/personnel/personnel/personnel/personnel/personnel/personnel/person
What was the certificate of the pilot in the aircraft involved in [AccidentNumber_MIA03LA139],FlightInstructor;Commercial,private,N/A. The accident report for AccidentNumber_MIA03LA139 does not provide information on the pilot's certificate.,Private;commercial;flightengineer;commercial;flightengineer;commercial;flightengineer;commercial;flightengineer;commercial;flightengineer;commercial;flightengineer;commercial;flightengineer;commercial;flightengineer;
What was the medical certification of the pilot in the aircraft involved in [AccidentNumber_LAX05LA002],Class 2 With Waivers/Limitations,class 3 valid medical--w/ waivers/lim.,"Commercial pilot certificate with ratings for airplane single engine land and sea, airplane multiengine land, and instrument airplane. First-class medical certificate issued on October 19, 2004, with the limitation ""must wear corrective lenses.""", Class 2 valid medical--w/ waivers/lim. waivers/lim. not
What was the condition of light when the accident of aircraft registered with [Registration_N6425N] occurred,Day,day,N/A,"VFR day/night conditions lighted/unlighted,lighted/unlighted,lighted/unlighted,lighted/unlighted,lighted/unlighted,lighted/unlighted,lighted"
What is the engine type of the registered aircraft involved in [AccidentNumber_DEN02LA049],1Reciprocating,1reciprocating,N/A,turbo-jetb:turbopropjetb
Who is the engine manufacturer of the registered aircraft involved in [AccidentNumber_DEN04LA019],CFMInternational,lycoming,N/A,turbomeca.com/engines/turbomeca_tmb-2-2a1-2a1-2a1-2a1-2a1-2a1-2a1-2a
Where did the accidents with accident of aircraft registered with [Registration_N72KB] occur,OH,nm,N/A,florida
What could have contributed to the cause of the accident [AccidentNumber_ATL99LA079],OTHERPERSON|OTHER,pilot_in_command,Pilot's failure to maintain clearance from terrain/obstacles.,other_maintenance_personnel_personnel_of_other_aircraft_organizations_personnel_of_other_organizations_personnel_of_unknown_organization_personnel_of_unknown_organization
What is the aircraft category of the registered aircraft involved in [AccidentNumber_NYC03LA060],Airplane,airplane,N/A (Insufficient information provided to identify the aircraft),turboprop:aircraft-category_turboprop_aircraft_category_turboprop_aircraft_category_turboprop_aircraft_category_turboprop_aircraft_category_
What is the airworthiness certificate of the registered aircraft involved in [AccidentNumber_FTW04FA054],Normal,normal,Standard.,normal;utility;single-engineland;single-engineland;single-engineland;single-engineland;single-engineland;single-engineland;single-engineland;single-eng
What could have contributed to the cause of the accident [AccidentNumber_NYC85LA210],OTHERPERSON|OTHER|OTHER,other,N/A (The accident number provided is not valid or could not be found in the database),other_maintenance_personnel_personnel_in_charge_personnel_in_charge_of_maintenance_personnel_in_charge_of_maintenance_personnel_in_charge_of_maintenance
Which cities have the accidents of the aircraft registered with [Registration_N16CG] occurred in,TheWoodlands,edgartown,N/A. There is not enough information provided about the accidents of the aircraft registered with Registration_N16CG to determine the cities where they occurred.,"bentonville,arkansas;bismarck,northdakota;burbank,california;chicago,illinois;duluth,minnesota;elkridge,maryland;fortwayne,indiana"
What caused the accident of aircraft registered with [Registration_N271EP],TERRAINCONDITION|FLIGHTPLANNING/DECISION|___Unknown___AircraftIssue|___Unknown___EnvironmentalIssue|PREFLIGHTPLANNING/PREPARATION|FLUIDFUEL,___unknown___aircraftissue,N/A,unknownpersonnel/equipmentinadequatecondition/maintenancepersonnel/maintenancepersonnel/equipmentinadequatecondition/personnel/personnel/personnel/personnel/personnel/personnel/personnel/person
What was the certificate of the pilot in the aircraft involved in [AccidentNumber_LAX02LA245],Private,private,N/A (The question does not provide information about the pilot's certificate),Private;commercial;flightengineer;commercial;flightengineer;commercial;flightengineer;commercial;flightengineer;commercial;flightengineer;commercial;flightengineer;commercial;flightengineer;commercial;flightengineer;
What is the engine model of the registered aircraft involved in [AccidentNumber_DEN01LA047],TSIO-520D,o-360-a11,N/A,1a-b1a-a1a1a1a1a1a1a1a1a1a1a1a1a1a1a1a1a1a1a1a1a1a
What was the airplane rating of the pilot in the aircraft involved in [AccidentNumber_CHI03LA243],Single-engineLand,single-engineland,N/A - The NTSB report for AccidentNumber_CHI03LA243 does not include information about the pilot's airplane rating.,Single-engineland;single-enginesea;single-enginesea;single-enginesea;single-enginesea;single-enginesea;single-enginesea;single-enginesea;single-
What was the certificate of the pilot in the aircraft involved in [AccidentNumber_CHI04CA172],Commercial,private,N/A,Private;commercial;private;commercial;private;commercial;private;commercial;private;commercial;private;commercial;private;commercial;private;commercial;private;commercial;private;commercial;private;commercial;private;commercial;private;
What is the operator of the registered aircraft involved in [AccidentNumber_CHI04LA026],Christopher S. Wood,david a. schroeder,N/A (Insufficient information provided),"Cessna Aircraft Company, Inc."
What caused the accident of aircraft registered with [Registration_N1029E],___Unknown___AircraftIssue|___Unknown___EnvironmentalIssue|DIRECTIONALCONTROL,___unknown___aircraftissue,N/A,unknownpersonnel/equipmentissue/environmentalissue/unknown terraincondition/unknownweathercondition/undetermined terraincondition/undeterminedweathercondition/unknown pilot/aircraftoperatorissue/aircraftissue/flightplan/flightcrew/flightplan
What is the airworthiness certificate of the registered aircraft involved in [AccidentNumber_ATL01LA051],Normal,normal,N/A,normal;utility;single-engineland;single-engineland;single-engineland;single-engineland;single-engineland;single-engineland;single-engineland;single-eng
What was the condition of light when the accident of aircraft registered with [Registration_N257LA] occurred,Day,day,N/A (The question does not provide any information about the condition of light during the accident.),VFR day/night conditions light was on at the time of accident.
Where did the accidents with accident of aircraft registered with [Registration_N4104B] occur,TX,ca,N/A,florida
What is the aircraft category of the registered aircraft involved in [AccidentNumber_SEA03LA032],Airplane,airplane,N/A (The given Accident Number is invalid or incomplete),turbopropplane:turbopropjet:turbopropjetenginestransportaircraftturbopropjetenginestransportaircraftturbopropjetenginestransportaircraftturb
What could have contributed to the cause of the accident [AccidentNumber_CEN13CA573],INSTRUCTOR/CHECK_PILOT|PILOT_IN_COMMAND|STUDENT_PILOT|FLIGHTCREW,pilot_in_command,N/A (No accident number provided),_unknown_personnel_management_personnel_management_personnel_personnel_personnel_personnel_personnel_personnel_personnel_personnel_personnel_personnel_personnel_personnel_person
What could have contributed to the cause of the accident [AccidentNumber_NYC91LA054],OTHER,other,Pilot's failure to maintain clearance from the static display aircraft.,other_maintenance_personnel_personnel_personnel_personnel_personnel_personnel_personnel_personnel_personnel_personnel_personnel_personnel_personnel_personnel_personnel_
What was the airplane rating of the pilot in the aircraft involved in [AccidentNumber_MIA05FA020],Multi-engineLand;Single-engineLand,multi-engineland;single-engineland,Private pilot.,Single-engineland;single-enginesea;single-enginesea;single-enginesea;single-enginesea;single-enginesea;single-enginesea;single-enginesea;single-
What was the condition of light when the accident of aircraft registered with [Registration_N679WB] occurred,Day,day,N/A. The question does not provide enough information about the weather or time of day to determine the condition of light.,VFR day/night conditions light was on at time of accident.
Where did the accidents with accident of aircraft registered with [Registration_N9807U] occur,TN,ak,N/A (no information given about any accidents involving an aircraft with registration number N9807U),"florida,florida"
What is the Emergency Locator Transmitter of the registered aircraft involved in [AccidentNumber_LAX04CA175],___Unknown___ELT,___unknown___elt,N/A,"installed,not activated/used,not installed/used,not activated/used,not installed/used,not activated/used,not installed/used,not activated/used,not installed/used,not activated/used,not installed/"
Where did the accidents with accident of aircraft registered with [Registration_N1066M] occur,VA,ok,N/A,florida
What is the Emergency Locator Transmitter of the registered aircraft involved in [AccidentNumber_CHI03LA002],___Unknown___ELT,"installed, not activated",N/A,"installed,not activated/used,not installed/used,not activated/used,not installed/used,not activated/used,not installed/used,not activated/used,not installed/used,not activated/used,not installed/"
What is the landing gear type of the registered aircraft involved in [AccidentNumber_DEN05LA055],Tricycle,tailwheel,N/A,tricycle
Which pilots have been involved in the accident of aircraft registered with [Registration_N1607D],Pilot_LAX03LA146,pilot_sea04la063a,N/A. There is no record of an aircraft with the registration N1607D being involved in an accident.,pilot_chi01la068a037a0b1b2d0b0b0b0b0b0b0b0b0b0b0b0b0b0b0b0b
Where did the accidents with accident of aircraft registered with [Registration_N3602D] occur,WI,ak,N/A. There has been no accident involving an aircraft registered with Registration_N3602D according to the National Transportation Safety Board database.,"florida,florida"
What is the engine type of the registered aircraft involved in [AccidentNumber_SEA04LA134],1Reciprocating,1reciprocating,N/A,turbo-jet-turbofan-turboprop-turboshaft-turboshaft-turboshaft-turboshaft-turboshaft-turboshaft
What is the airworthiness certificate of the registered aircraft involved in [AccidentNumber_LAX03CA274],Restricted,normal,Standard.,normal;utility;single-engineland;single-engineland;single-engineland;single-engineland;single-engineland;single-engineland;single-engineland;single-eng
What could have contributed to the cause of the accident [AccidentNumber_DFW06CA064],PILOT_IN_COMMAND|OTHER,pilot_in_command,Pilot's improper decision to continue flight into known adverse weather conditions and failure to maintain clearance from terrain.,other_maintenance_personnel_personnel_management_personnel_inspection_personnel_flight_crew_personnel_flight_crew_management_personnel_personnel_flight_crew_personnel_flight_
What could have contributed to the cause of the accident [AccidentNumber_ERA12LA058],Malfunction|Incorrectservice/maintenance|CapabilityExceeded|Notused/operated|NOT_SPECIFIED|OWNER/BUILDER|_UNKNOWN_PERSON|COMPANY_MAINTENANCE_PERSONNEL,notused/operated,N/A,_unknown_personnel_management_personnel_management_personnel_personnel_personnel_personnel_personnel_personnel_personnel_personnel_personnel_personnel_personnel_personnel_person
When was the last inspection of the registered aircraft involved in [AccidentNumber_NYC02LA070],Annual,annual,N/A, ___unknown___lastinspection___registeredaircraftinvolvedinaccidentnumbernyc02la070___lastinspection___registeredaircraftinvolvedinaccidentnumbernyc02la070___unknown___lastinspection___registeredaircraftinvolvedin
Where did the accidents with accident of aircraft registered with [Registration_N62712] occur,AZ,ak,N/A (There is no record of any accident involving an aircraft registered with Registration_N62712),florida
Who is the engine manufacturer of the registered aircraft involved in [AccidentNumber_CHI02LA024],Continental,lycoming,N/A,turbomeca.com/engines/turbomeca_tmb-2-2a1-2a1-2a1-2a1-2a1-2a1-2a1-2a
What was the condition of light when the accident of aircraft registered with [Registration_NONE] occurred,Dawn|Day,day,N/A (There is no mention of the condition of light in the question or the given information about the accident with Registration_NONE),VFR day/night unknown/unknown/unknown/unknown/unknown/unknown/unknown/unknown/unknown/unknown/unknown/unknown/unknown/unknown/unknown/unknown/unknown/unknown/unknown/unknown/unknown/unknown/unknown
Which pilots have been involved in the accident of aircraft registered with [Registration_N1UH],Pilot_DFW05LA153,pilot_ftw02la110,N/A - There is no record of an aircraft registered with Registration_N1UH being involved in an accident.,pilot_chi01la039a039a039a039a039a039a039a039a039a039a039a039a039a039a039
What is the Emergency Locator Transmitter of the registered aircraft involved in [AccidentNumber_NYC02FA152],"Installed, not activated","installed, not activated",N/A,not installed/equipped/equippedwithelt/lmt/lmt/lmt/lmt/lmt/lmt/lmt/lmt/lmt/lmt/lmt/lmt/lmt/lmt
Who is the engine manufacturer of the registered aircraft involved in [AccidentNumber_SEA04LA024],Hirth,lycoming,N/A (The given accident number is invalid),turbomeca.com/engines/turbomeca_tmb-2-2a1a.html
When was the last inspection of the registered aircraft involved in [AccidentNumber_SEA02FA036],Annual,annual,N/A (The accident number provided is not valid or the information is not publicly available), ___ ___ ___ ___ ___ ___ ___ ___ ___ ___ ___ ___ ___ ___ ___ ___ ___ ___ ___ ___ ___ ___ ___ ___ ___ ___ ___ ___ ___ ___ ___ ___ ___ ___ ___ ___ ___ ___ ___ ___ ___ ___ ___ ___ ___ ___ ___ ___ ___ ___
When was the last inspection of the registered aircraft involved in [AccidentNumber_ANC04LA050],100 Hour,annual,N/A, ___unknown___lastinspectionwas___unknown___lastinspectionwas___unknown___lastinspectionwas___unknown___lastinspectionwas___unknown___lastinspectionwas___unknown___lastinspectionwas___unknown___lastinspectionwas___
Which pilots have been involved in the accident of aircraft registered with [Registration_N301CS],Pilot_LAX01LA298,pilot_atl05ca068,N/A,pilot_chi01la039a039a039a039a039a039a039a039a039a039a039a039a039a039a039
What could have contributed to the cause of the accident [AccidentNumber_ERA13LA397],PILOT_IN_COMMAND|COMPANY_MAINTENANCE_PERSONNEL|Malfunction|Incorrectservice/maintenance|CapabilityExceeded|Notused/operated|Response/compensation|EffectOnOperation|NotSpecified|AwarenessOfCondition|ContributedToOutcome|EffectOnPersonnel,incorrectservice/maintenance,N/A (The accident number provided is not a valid FAA accident number),_unknown_personnel_management_personnel_management_personnel_personnel_personnel_personnel_personnel_personnel_personnel_personnel_personnel_personnel_personnel_personnel_person
What is the airworthiness certificate of the registered aircraft involved in [AccidentNumber_CHI01LA194],___Unknown___AirworthinessCertificate,normal,N/A,normal;aircraftnotregisteredforflightin Canada;noairworthinesscertificatesissuedforaircraftoftypeinvolvedinaccidentwithaccidentnumberchicago01la194;no waiversoflimitationsofairworthinesscertificatesissuedfor
What could have contributed to the cause of the accident [AccidentNumber_WPR10CA043],NOT_SPECIFIED|PILOT_IN_COMMAND|GROUNDCREW|STUDENT_PILOT|FLIGHTCREW,other,N/A,_unknown_personnel_management_personnel_management_personnel_management_personnel_management_personnel_management_personnel_management_personnel_management_personnel_management_personnel_management_personnel
Who is the engine manufacturer of the registered aircraft involved in [AccidentNumber_SEA04LA097],Lycoming,lycoming,N/A,turbomeca.com/engines/turbomeca_tmb-2-2a1-2a1-2a1-2a1-2a1-2a1-2a1-2a
What could have contributed to the cause of the accident [AccidentNumber_MKC83LA001],UNKNOWN|PILOT_IN_COMMAND,other,N/A (The accident number provided is not specific enough to determine the accident being referred to),other_maintenance_personnel_personnel_in_charge_personnel_in_charge_of_maintenance_personnel_in_charge_of_maintenance_personnel_in_charge_of_maintenance
What is the engine type of the registered aircraft involved in [AccidentNumber_SEA01LA111],1Reciprocating,1reciprocating,N/A,turbo-jet-turbofan-turboprop-turboshaft-turboshaft-turboshaft-turboshaft-turboshaft-turboshaft
What is the landing gear type of the registered aircraft involved in [AccidentNumber_CHI02LA115],Retractable-Tricycle,retractable-tricycle,Fixed tricycle landing gear.,tricycle
What is the serial number of the registered aircraft involved in [AccidentNumber_FTW03LA200],7AC3123,365-0822,N/A,C-GJHN0101010101010101010101010101010101010101010101010101010101010101010101010101010101010101
What was the medical certification of the pilot in the aircraft involved in [AccidentNumber_ANC05LA021],Class 3 With Waivers/Limitations,class 2 valid medical--w/ waivers/lim.,Third-class medical certificate.,Medical with waivers/limitations -> class 2 valid medical--w/ waivers/limitations -> class 3 valid medical--w/ waivers/limitations -> class 4 valid medical--w/ waivers/limitations -> class 5 valid medical--w/
What is the aircraft category of the registered aircraft involved in [AccidentNumber_LAX04CA175],Airplane,airplane,Unknown.,turboprop:turbopropengineonly;turbopropenginestandalone;turbopropengineswithpropellers;turbopropengineswithpropellersandengines;turbop
What is the engine type of the registered aircraft involved in [AccidentNumber_ATL05CA068],2Reciprocating,1reciprocating,N/A,turbo-jetb:turbomecaM-21turbomecaM-21turbomecaM-21turbomecaM-21turbomecaM-21turbomecaM-21turb
When was the last inspection of the registered aircraft involved in [AccidentNumber_FTW02LA029],Annual,annual,N/A, ___ ___ ___ ___ ___ ___ ___ ___ ___ ___ ___ ___ ___ ___ ___ ___ ___ ___ ___ ___ ___ ___ ___ ___ ___ ___ ___ ___ ___ ___ ___ ___ ___ ___ ___ ___ ___ ___ ___ ___ ___ ___ ___ ___ ___ ___ ___ ___ ___ ___
What was the condition of light when the accident of aircraft registered with [Registration_N6969H] occurred,Day,day,N/A (There is no information provided about the condition of light during the accident of aircraft registered with Registration_N6969H),"VFR day/night conditions lighted/unlighted,lighted/unlighted,lighted/unlighted,lighted/unlighted,lighted/unlighted,lighted/unlighted,lighted"
